,Tube_ID,DAS,Leaf,Block,Imprint_ID,Genotype,Treatment,Leafside,density,size,estimated_leaf_area
1,1,49,4th,4,1,Navara,ww,Top,18.71908009,913.1575378,71.87963991
2,1,49,4th,4,2,Navara,ww,Bottom,20.72469581,879.6161822,71.87963991
3,1,73,4th,4,97,Navara,ww,Top,11.69942506,1078.693189,75.39822369
4,1,73,4th,4,98,Navara,ww,Bottom,12.36796363,1061.768449,75.39822369
5,1,73,new,4,99,Navara,ww,Top,17.04773365,761.8509119,43.19689899
6,1,73,new,4,100,Navara,ww,Bottom,20.05615724,903.1358166,43.19689899
7,10,49,4th,3,19,Capri,ww,Top,16.04492579,1091.784972,34.30619178
8,10,49,4th,3,20,Capri,ww,Bottom,20.72469581,1011.750971,34.30619178
9,10,73,4th,3,133,Capri,ww,Top,16.04492579,1179.601425,48.38052687
10,10,73,4th,3,134,Capri,ww,Bottom,22.06177296,1008.551076,48.38052687
11,10,73,new,3,135,Capri,ww,Top,13.70504078,1052.640665,35.93981996
12,10,73,new,3,136,Capri,ww,Bottom,18.3848108,1146.637046,35.93981996
13,11,49,4th,3,21,ILB938,ww,Top,14.70784864,1066.381193,102.9185753
14,11,49,4th,3,22,ILB938,ww,Bottom,17.71627223,1140.474404,102.9185753
15,11,73,4th,3,137,ILB938,ww,Top,15.04211793,1018.456294,91.89158512
16,11,73,4th,3,138,ILB938,ww,Bottom,18.71908009,1115.101311,91.89158512
17,11,73,new,3,140,ILB938,ww,Bottom,15.37638722,1006.278902,34.55751919
18,12,49,4th,3,23,Melodie,ww,Top,17.38200294,997.3952213,55.98318109
19,12,49,4th,3,24,Melodie,ww,Bottom,21.39323439,1015.601576,55.98318109
20,12,73,4th,3,141,Melodie,ww,Top,13.70504078,1271.476152,48.38052687
21,12,73,4th,3,142,Melodie,ww,Bottom,17.71627223,1012.046082,48.38052687
22,12,73,new,3,143,Melodie,ww,Top,20.72469581,860.9766563,62.83185307
23,12,73,new,3,144,Melodie,ww,Bottom,22.06177296,942.1512676,62.83185307
24,13,49,4th,3,26,Melodie,drought,Bottom,24.40165798,936.4455703,42.41150082
25,13,49,4th,3,25,Melodie,drought,Top,21.39323439,827.0107136,42.41150082
26,13,73,4th,3,145,Melodie,drought,Top,21.72750368,850.7513047,42.41150082
27,13,73,4th,3,146,Melodie,drought,Bottom,26.4072737,979.8151069,42.41150082
28,13,73,new,3,147,Melodie,drought,Top,24.73592726,747.5033945,32.6725636
29,13,73,new,3,148,Melodie,drought,Bottom,32.08985158,835.9036009,32.6725636
30,14,49,4th,3,27,Lynx,drought,Top,20.39042653,817.0904985,52.27610176
31,14,49,4th,3,28,Lynx,drought,Bottom,29.41569729,864.6554867,52.27610176
32,14,73,4th,3,149,Lynx,drought,Top,22.73031154,956.9065316,43.98229715
33,14,73,4th,3,150,Lynx,drought,Bottom,27.07581227,959.9885774,43.98229715
34,14,73,new,3,151,Lynx,drought,Top,21.0589651,692.2688973,35.34291735
35,14,73,new,3,152,Lynx,drought,Bottom,33.09265945,807.4863143,35.34291735
36,15,49,4th,3,30,Aurora,drought,Bottom,19.05334938,1078.970351,53.46990696
37,15,49,4th,3,29,Aurora,drought,Top,16.71346437,1026.730138,53.46990696
38,15,73,4th,3,153,Aurora,drought,Top,17.04773365,1106.255627,62.83185307
39,15,73,4th,3,154,Aurora,drought,Bottom,17.38200294,1237.147522,62.83185307
40,15,73,new,3,155,Aurora,drought,Top,21.0589651,757.7680095,65.34512719
41,15,73,new,3,156,Aurora,drought,Bottom,24.73592726,892.1110278,65.34512719
42,16,49,4th,3,31,Navara,drought,Top,18.05054152,950.7949643,101.2849472
43,16,49,4th,3,32,Navara,drought,Bottom,19.72188795,986.210098,101.2849472
44,16,73,4th,3,157,Navara,drought,Top,12.70223292,956.2643299,77.75441818
45,16,73,4th,3,158,Navara,drought,Bottom,17.71627223,1012.823048,77.75441818
46,16,73,new,3,159,Navara,drought,Top,19.05334938,729.4067816,43.19689899
47,16,73,new,3,160,Navara,drought,Bottom,20.05615724,810.9399537,43.19689899
48,17,49,4th,3,33,Lynx,ww,Top,20.39042653,883.1200496,31.66725395
49,17,49,4th,3,34,Lynx,ww,Bottom,24.40165798,876.174254,31.66725395
50,17,73,4th,3,161,Lynx,ww,Top,18.71908009,996.8702519,62.20353454
51,17,73,4th,3,162,Lynx,ww,Bottom,22.06177296,1043.179633,62.20353454
52,17,73,new,3,163,Lynx,ww,Top,17.38200294,1059.849109,51.83627878
53,17,73,new,3,164,Lynx,ww,Bottom,20.05615724,1047.898337,51.83627878
54,18,49,4th,3,36,Capri,drought,Bottom,22.73031154,1109.929669,87.9645943
55,18,49,4th,3,35,Capri,drought,Top,20.39042653,969.1193194,87.9645943
56,18,73,4th,3,165,Capri,drought,Top,14.37357936,1125.656228,40.8407045
57,18,73,4th,3,166,Capri,drought,Bottom,18.05054152,1056.528281,40.8407045
58,18,73,new,3,167,Capri,drought,Top,24.06738869,736.6051512,31.41592654
59,18,73,new,3,168,Capri,drought,Bottom,29.41569729,847.966258,31.41592654
60,19,49,4th,4,38,Capri,drought,Bottom,17.71627223,922.058979,79.70220562
61,19,49,4th,4,37,Capri,drought,Top,19.05334938,898.3224797,79.70220562
62,19,73,4th,4,169,Capri,drought,Top,12.70223292,1025.329542,86.39379797
63,19,73,4th,4,170,Capri,drought,Bottom,18.3848108,1002.430003,86.39379797
64,19,73,new,4,171,Capri,drought,Top,18.3848108,788.6537415,51.83627878
65,19,73,new,4,172,Capri,drought,Bottom,21.0589651,827.865576,51.83627878
66,2,49,4th,4,3,Lynx,ww,Top,18.3848108,1022.453676,47.24955351
67,2,49,4th,4,4,Lynx,ww,Bottom,23.39885011,1012.43602,47.24955351
68,2,73,4th,4,101,Lynx,ww,Top,15.7106565,956.3401611,60.47565858
69,2,73,4th,4,102,Lynx,ww,Bottom,19.05334938,1067.934076,60.47565858
70,2,73,new,4,103,Lynx,ww,Top,14.70784864,1149.574406,39.26990817
71,2,73,new,4,104,Lynx,ww,Bottom,14.03931007,1286.077861,39.26990817
72,21,49,4th,4,41,Lynx,drought,Top,19.05334938,810.6964371,66.25618906
73,21,49,4th,4,42,Lynx,drought,Bottom,22.5631769,964.9197448,66.25618906
74,21,73,4th,4,178,Lynx,drought,Bottom,22.73031154,1032.945021,62.83185307
75,21,73,new,4,179,Lynx,drought,Top,18.05054152,996.7379915,34.55751919
76,21,73,new,4,180,Lynx,drought,Bottom,25.73873513,810.7793365,34.55751919
77,22,49,4th,4,43,Melodie,ww,Top,19.55475331,1043.566621,44.23362456
78,22,49,4th,4,44,Melodie,ww,Bottom,20.72469581,1175.327319,44.23362456
79,22,73,4th,4,181,Melodie,ww,Top,16.71346437,997.2325986,62.83185307
80,22,73,4th,4,182,Melodie,ww,Bottom,16.37919508,1099.150934,62.83185307
81,22,73,new,4,183,Melodie,ww,Top,14.03931007,1018.070034,51.05088062
82,22,73,new,4,184,Melodie,ww,Bottom,19.38761867,1093.940707,51.05088062
83,23,49,4th,4,45,Navara,drought,Top,20.39042653,958.5141166,69.93185247
84,23,49,4th,4,46,Navara,drought,Bottom,19.38761867,984.3035061,69.93185247
85,23,73,4th,4,185,Navara,drought,Top,22.73031154,959.2470552,94.24777961
86,23,73,4th,4,186,Navara,drought,Bottom,23.7331194,1033.036199,94.24777961
87,23,73,new,4,187,Navara,drought,Top,19.05334938,841.5601157,61.26105675
88,23,73,new,4,188,Navara,drought,Bottom,17.38200294,854.3577106,61.26105675
89,24,49,4th,4,47,Capri,ww,Top,16.37919508,959.436764,76.59202889
90,24,49,4th,4,48,Capri,ww,Bottom,19.38761867,1015.920871,76.59202889
91,24,73,4th,4,189,Capri,ww,Top,13.03650221,1053.607625,87.9645943
92,24,73,4th,4,190,Capri,ww,Bottom,15.7106565,997.3656946,87.9645943
93,24,73,new,4,191,Capri,ww,Top,15.7106565,900.5346857,65.97344573
94,24,73,new,4,192,Capri,ww,Bottom,12.70223292,1125.489254,65.97344573
95,25,49,4th,2,49,Lynx,ww,Top,22.39604225,861.5829706,50.26548246
96,25,49,4th,2,50,Lynx,ww,Bottom,24.73592726,970.3323053,50.26548246
97,25,73,4th,2,193,Lynx,ww,Top,17.04773365,970.9117382,69.11503838
98,25,73,4th,2,194,Lynx,ww,Bottom,21.72750368,992.3972633,69.11503838
99,25,73,new,2,195,Lynx,ww,Top,17.04773365,842.2371089,82.46680716
100,25,73,new,2,196,Lynx,ww,Bottom,24.06738869,971.6607253,82.46680716
101,26,49,4th,2,52,Navara,ww,Bottom,15.7106565,1011.107182,100.939372
102,26,49,4th,2,51,Navara,ww,Top,16.71346437,964.1470875,100.939372
103,26,73,4th,2,197,Navara,ww,Top,13.37077149,1115.272381,77.75441818
104,26,73,4th,2,198,Navara,ww,Bottom,12.36796363,1159.998636,77.75441818
105,26,73,new,2,199,Navara,ww,Top,15.37638722,841.0991294,65.97344573
106,26,73,new,2,200,Navara,ww,Bottom,17.38200294,976.4528171,65.97344573
107,27,49,4th,2,53,ILB938,drought,Top,13.37077149,984.509113,95.97565557
108,27,49,4th,2,54,ILB938,drought,Bottom,15.37638722,1184.717438,95.97565557
109,27,73,4th,2,201,ILB938,drought,Top,15.04211793,919.2564807,146.8694566
110,27,73,4th,2,202,ILB938,drought,Bottom,14.70784864,1095.446639,146.8694566
111,27,73,new,2,203,ILB938,drought,Top,15.37638722,833.942061,52.77875658
112,27,73,new,2,204,ILB938,drought,Bottom,18.71908009,978.6632689,52.77875658
113,28,49,4th,2,55,Navara,drought,Top,18.05054152,1102.402326,51.67919915
114,28,49,4th,2,56,Navara,drought,Bottom,16.04492579,1093.770632,51.67919915
115,28,73,4th,2,205,Navara,drought,Top,16.37919508,1143.27222,51.83627878
116,28,73,4th,2,206,Navara,drought,Bottom,23.39885011,1044.906572,51.83627878
117,28,73,new,2,207,Navara,drought,Top,15.04211793,893.0815322,49.48008429
118,28,73,new,2,208,Navara,drought,Bottom,17.38200294,955.2342473,49.48008429
119,29,49,4th,2,57,Melodie,drought,Top,17.71627223,1035.096402,55.54335812
120,29,49,4th,2,58,Melodie,drought,Bottom,19.05334938,1054.384349,55.54335812
121,29,73,4th,2,209,Melodie,drought,Top,16.37919508,978.411308,112.3119374
122,29,73,4th,2,210,Melodie,drought,Bottom,20.39042653,1022.052696,112.3119374
123,29,73,new,2,211,Melodie,drought,Top,23.7331194,743.0647287,44.92477495
124,29,73,new,2,212,Melodie,drought,Bottom,20.39042653,776.9378435,44.92477495
125,30,73,4th,2,213,Melodie,ww,Top,16.71346437,682.3824545,NA
126,31,49,4th,1,61,Melodie,drought,Top,20.05615724,944.8761101,64.46548125
127,31,49,4th,1,62,Melodie,drought,Bottom,21.0589651,1075.809911,64.46548125
128,31,73,4th,1,217,Melodie,drought,Top,16.04492579,1038.387741,37.69911184
129,31,73,4th,1,218,Melodie,drought,Bottom,20.05615724,1042.566142,37.69911184
130,31,73,new,1,219,Melodie,drought,Top,17.38200294,730.404775,43.98229715
